"year" "age" "mass" "status" "mass_scaled"
"257" 1996 4 114 "harvested" -0.431439484587002
"258" 1996 4 104 "harvested" -0.838237869549824
"259" 1996 7 101 "harvested" -0.96027738503867
"260" 1997 4 165 "harvested" 1.64323227872339
"261" 1998 8 122 "harvested" -0.106000776616745
"262" 1998 5 122 "harvested" -0.106000776616745
"263" 1999 5 147 "harvested" 0.910995185790308
"264" 1999 4 125 "harvested" 0.0160387388721013
"266" 2000 9 176 "harvested" 2.09071050218249
"267" 2000 22 151 "harvested" 1.07371453977544
"269" 2001 12 178 "harvested" 2.17207017917505
"270" 2002 9 48 "harvested" -3.11630882534162
"271" 2002 4 109 "harvested" -0.634838677068413
"272" 2002 9 90 "harvested" -1.40775560849777
"274" 2002 17 159 "harvested" 1.39915324774569
"275" 2003 11 102 "harvested" -0.919597546542388
"277" 2003 9 115 "harvested" -0.39075964609072
"278" 2003 7 140 "harvested" 0.626236316316333
"279" 2003 9 124 "harvested" -0.0246410996241808
"280" 2004 10 149 "harvested" 0.992354862782873
"282" 2004 10 126 "harvested" 0.0567185773683835
"284" 2004 11 135 "harvested" 0.422837123834923
"285" 2004 8 178 "harvested" 2.17207017917505
"286" 2004 9 103 "harvested" -0.878917708046106
"287" 2004 14 160 "harvested" 1.43983308624198
"288" 2004 6 150 "harvested" 1.03303470127915
"289" 2004 5 170 "harvested" 1.8466314712048
"290" 2004 5 120 "harvested" -0.187360453609309
"291" 2004 4 145 "harvested" 0.829635508797744
"292" 2005 4 110 "harvested" -0.594158838572131
"293" 2005 4 116 "harvested" -0.350079807594438
"294" 2005 13 160 "harvested" 1.43983308624198
"295" 2005 5 130 "harvested" 0.219437931353512
"296" 2005 19 160 "harvested" 1.43983308624198
"297" 2005 5 109 "harvested" -0.634838677068413
"298" 2005 4 117 "harvested" -0.309399969098156
"299" 2006 5 122 "harvested" -0.106000776616745
"300" 2006 17 146 "harvested" 0.870315347294026
"301" 2006 5 95 "harvested" -1.20435641601636
"302" 2006 9 125 "harvested" 0.0160387388721013
"303" 2006 6 136 "harvested" 0.463516962331205
"304" 2006 8 160 "harvested" 1.43983308624198
"305" 2007 4 117 "harvested" -0.309399969098156
"306" 2007 5 132 "harvested" 0.300797608346076
"309" 2007 6 123 "harvested" -0.065320938120463
"310" 2007 4 114 "harvested" -0.431439484587002
"312" 2007 10 112 "harvested" -0.512799161579567
"313" 2007 4 111 "harvested" -0.553479000075849
"314" 2007 5 137 "harvested" 0.504196800827487
"315" 2007 11 138 "harvested" 0.544876639323769
"316" 2007 4 115 "harvested" -0.39075964609072
"317" 2007 11 152 "harvested" 1.11439437827172
"318" 2008 16 128 "harvested" 0.138078254360948
"319" 2008 18 136 "harvested" 0.463516962331205
"320" 2008 19 134 "harvested" 0.382157285338641
"321" 2009 4 90 "harvested" -1.40775560849777
"322" 2009 4 105 "harvested" -0.797558031053542
"323" 2009 4 134 "harvested" 0.382157285338641
"324" 2009 9 143 "harvested" 0.74827583180518
"325" 2009 8 95 "harvested" -1.20435641601636
"327" 2009 8 100 "harvested" -1.00095722353495
"329" 2009 4 125 "harvested" 0.0160387388721013
"331" 2009 13 165 "harvested" 1.64323227872339
"332" 2009 10 78 "harvested" -1.89591367045316
"333" 2009 6 92 "harvested" -1.32639593150521
"334" 2009 5 101 "harvested" -0.96027738503867
"335" 2009 9 129 "harvested" 0.17875809285723
"336" 2009 4 112 "harvested" -0.512799161579567
"337" 2009 5 121 "harvested" -0.146680615113027
"338" 2009 9 107 "harvested" -0.716198354060977
"339" 2009 10 115 "harvested" -0.39075964609072
"341" 2009 10 130 "harvested" 0.219437931353512
"342" 2009 5 82 "harvested" -1.73319431646803
"343" 2009 4 137 "harvested" 0.504196800827487
"344" 2009 12 96 "harvested" -1.16367657752008
"345" 2010 6 108 "harvested" -0.675518515564695
"346" 2010 11 132 "harvested" 0.300797608346076
"347" 2010 5 113 "harvested" -0.472119323083284
"348" 2010 9 116 "harvested" -0.350079807594438
"349" 2010 6 101 "harvested" -0.96027738503867
"352" 2010 11 132 "harvested" 0.300797608346076
"354" 2010 11 114 "harvested" -0.431439484587002
"355" 2010 7 91 "harvested" -1.36707577000149
"356" 2010 8 85 "harvested" -1.61115480097918
"357" 2010 8 124 "harvested" -0.0246410996241808
