	year	mass_scaled
1	2009	0.696153065753064
2	2008	0.217777540807524
3	2002	0.0981836595711394
4	2000	0.636356125134872
5	2004	0.636356125134872
6	2008	-0.200801043519823
7	2006	-0.0812071622834381
8	2003	0.277574481425717
9	2005	-0.141004102901631
10	2003	0.217777540807524
11	2007	0.755950006371257
12	2006	-0.439988805992593
13	2009	0.277574481425717
14	2010	0.755950006371257
15	2005	-0.320394924756208
16	2007	0.0383867189529469
17	2009	0.755950006371257
18	2001	0.576559184516679
19	2004	0.157980600189332
20	2002	-0.499785746610785
24	2005	-0.798770449701748
25	2007	-0.200801043519823
26	2005	-0.738973509083555
27	2006	0.516762243898487
28	2005	-1.87511538082921
30	2008	-0.141004102901631
31	2011	-0.978161271556325
32	2005	-0.3801918653744
33	2011	-0.260597984138015
34	2005	-0.499785746610785
35	2010	1.29412247193499
36	2009	0.815746946989449
37	2004	0.815746946989449
38	2006	0.277574481425717
39	2005	0.456965303280294
40	2009	-0.0812071622834381
41	2008	0.217777540807524
42	2004	0.815746946989449
43	2004	-0.61937962784717
44	2005	0.397168362662102
45	2010	0.337371422043909
46	2008	-0.0812071622834381
47	2004	0.516762243898487
48	2007	0.0981836595711394
50	2013	-0.260597984138015
51	2011	-0.61937962784717
52	2005	0.576559184516679
53	2008	0.277574481425717
54	2011	-0.141004102901631
55	2005	0.696153065753064
57	2007	-0.738973509083555
59	2007	0.0383867189529469
61	2008	-0.439988805992593
62	2007	-0.499785746610785
63	2007	-0.499785746610785
64	2009	-0.141004102901631
66	2008	-0.0812071622834381
67	2006	-0.738973509083555
68	2008	-0.798770449701748
69	2009	0.636356125134872
70	2011	-1.13363331716363
71	2005	-1.03795821217452
72	2009	0.337371422043909
74	2008	-0.85856739031994
75	2010	-0.260597984138015
76	2009	0.696153065753064
78	2008	-1.27714597464729
79	2007	-1.33694291526548
80	2011	-1.57613067773825
81	2009	-1.2173490340291
82	2013	-0.738973509083555
83	2010	-0.85856739031994
84	2011	-0.679176568465363
86	2013	-0.559582687228978
87	2010	-2.23389702453837
88	2009	-2.35349090577475
89	2011	-1.9947092620656
90	2010	-2.17410008392017
91	2009	-2.29369396515656
92	2013	-0.320394924756208
93	2011	-1.75552149959283
94	2009	-0.439988805992593
95	2010	-0.200801043519823
97	2009	-0.439988805992593
98	2013	0.0981836595711394
99	2011	-0.0812071622834381
100	2009	-0.3801918653744
101	2010	0.815746946989449
102	2011	-0.85856739031994
103	2009	-0.918364330938133
104	2007	2.13127964058968
105	2010	-1.51633373712006
107	2010	-1.39673985588367
108	2010	-2.29369396515656
109	2010	0.277574481425717
110	2010	-0.679176568465363
111	2011	-1.69572455897464
112	2012	-1.03795821217452
114	2011	-1.9947092620656
115	2011	-2.17410008392017
116	2012	-1.78541996990192
117	2013	-0.918364330938133
118	2012	-1.33694291526548
120	2011	-1.63592761835644
121	2013	-1.57613067773825
122	2012	-2.08440467299289
123	2010	-0.0812071622834381
124	2012	-1.27714597464729
125	2013	-1.2173490340291
126	2012	-2.05450620268379
129	2001	0.277574481425717
130	2003	-0.0812071622834381
131	1996	0.576559184516679
132	1999	0.337371422043909
133	1996	1.05493470946222
135	1999	3.32721845295353
137	1997	1.1745285906986
138	2000	1.35391941255318
140	2003	-0.0214102216652456
141	2006	0.397168362662102
142	1997	0.935340828225834
144	1996	0.0383867189529469
145	2005	2.54985822491703
146	2003	0.755950006371257
147	1997	2.0116857593533
148	2001	2.43026434368065
149	1999	1.53331023440776
152	2001	1.65290411564414
154	1999	1.1745285906986
155	1997	1.11473165008041
157	1996	0.456965303280294
159	2004	0.815746946989449
161	2002	0.337371422043909
163	2000	1.59310717502595
165	1996	0.636356125134872
166	2002	0.696153065753064
167	1998	1.05493470946222
168	1998	0.636356125134872
171	2005	1.29412247193499
172	2001	0.516762243898487
173	2008	0.157980600189332
174	1997	-0.260597984138015
176	2003	-0.200801043519823
181	1996	-0.499785746610785
182	1996	0.995137768844027
185	1997	0.875543887607642
186	1999	2.13127964058968
188	1998	-0.0214102216652456
189	1997	-1.27714597464729
190	2000	0.277574481425717
192	2002	0.277574481425717
193	1996	-0.85856739031994
194	2004	1.53331023440776
196	2009	1.53331023440776
197	2003	0.995137768844027
199	1998	0.636356125134872
200	1996	0.0383867189529469
201	2003	0.217777540807524
202	2000	0.935340828225834
203	1998	0.337371422043909
205	2009	0.456965303280294
206	2002	-0.260597984138015
207	2013	0.516762243898487
209	1997	-0.439988805992593
210	2010	0.157980600189332
211	2000	1.05493470946222
213	1999	0.277574481425717
214	2002	1.1745285906986
215	2004	0.935340828225834
216	1998	0.337371422043909
217	2002	0.217777540807524
218	2000	1.1745285906986
220	1998	0.337371422043909
223	2000	-0.141004102901631
224	1999	-0.141004102901631
225	1998	-1.1575520934109
229	2005	0.636356125134872
230	2009	1.2343255313168
231	2003	0.456965303280294
232	2011	0.337371422043909
233	2007	1.29412247193499
234	2003	-1.2173490340291
235	2001	-0.798770449701748
236	2005	-0.61937962784717
237	2007	0.397168362662102
239	2005	0.576559184516679
240	2003	0.0383867189529469
241	2010	0.0981836595711394
242	2004	0.157980600189332
243	2001	-1.03795821217452
244	2007	0.0383867189529469
245	2005	-0.559582687228978
246	2008	-0.798770449701748
247	2010	-0.3801918653744
248	2010	-0.3801918653744
249	1999	1.59310717502595
250	1999	0.277574481425717
251	2001	0.935340828225834
252	2006	1.47351329378957
253	2003	-0.3801918653744
254	2002	0.337371422043909
255	2004	0.995137768844027
256	2009	0.636356125134872
257	2002	-0.320394924756208
258	2013	0.815746946989449
