"year" "age" "mass_scaled" "plo" "phi" "tlo" "thi"
"1" 1996 8 0.745868224028668 1.00597639404661 0.485760054010727 1.629196973783 -0.13746052572566
"2" 1997 8 0.666398162448671 0.908317190554639 0.424479134342703 1.54454293194411 -0.211746607046768
"3" 1998 8 0.586928100868646 0.811445664734008 0.362410537003285 1.46043915203886 -0.286582950301572
"4" 1999 8 0.507458039288621 0.715559507524914 0.299356571052328 1.37689443208258 -0.361978353505333
"5" 2000 8 0.427987977708596 0.620910423149272 0.235065532267919 1.29391666414142 -0.437940708724227
"6" 2001 8 0.348517916128571 0.527812877299501 0.169222954957641 1.21151276149773 -0.514476929240594
"7" 2002 8 0.269047854548545 0.436645767788555 0.101449941308535 1.12968859292599 -0.591592883828897
"8" 2003 8 0.18957779296852 0.347837712776827 0.0313178731602129 1.04844892547339 -0.669293339536348
"9" 2004 8 0.110107731388495 0.261824929447322 -0.0416094666703324 0.967797377017544 -0.747581914240554
"10" 2005 8 0.030637669808498 0.178977746761955 -0.117702407144959 0.887736379679782 -0.826461040062786
"11" 2006 8 -0.0488323917715272 0.0995125203355519 -0.197177303878606 0.808267154944325 -0.90593193848738
"12" 2007 8 -0.128302453351552 0.0234289268576964 -0.280033833560801 0.72938970107955 -0.985994607782655
"13" 2008 8 -0.207772514931578 -0.049489935959307 -0.366055093903848 0.651102793153697 -1.06664782301685
"14" 2009 8 -0.287242576511603 -0.119614708462553 -0.454870444560653 0.573403995653262 -1.14788914867647
"15" 2010 8 -0.366712638091628 -0.187381676566789 -0.546043599616468 0.496289687394164 -1.22971496357742
"16" 2011 8 -0.446182699671653 -0.253219362090674 -0.639146037252632 0.419755098142285 -1.31212049748559
"17" 2012 8 -0.525652761251679 -0.317506491015768 -0.733799031487589 0.343794356085301 -1.39509987858866
"18" 2013 8 -0.605122822831675 -0.380557344072145 -0.829688301591206 0.268400545077254 -1.47864619074061
