"jd" "time" "temp"
"1" 0 15.25 18
"2" 0 15.75 14
"3" 0 16.25 16
"4" 0 16.75 16
"5" 0 17.25 16
"6" 0 17.75 18
"7" 0 18.25 18
"8" 0 18.75 16
"9" 0 19.25 18
"10" 0 19.75 16
"11" 0 20.25 18
"12" 0 20.75 18
"13" 0 21.25 16
"14" 0 21.75 14
"15" 0 22.25 16
"16" 0 22.75 16
"17" 0 23.25 16
"18" 0 23.75 16
"19" 0 0.25 16
"20" 0 0.75 10
"21" 0 1.25 16
"22" 0 1.75 18
"23" 0 2.25 18
"24" 0 2.75 16
"25" 0 3.25 18
"26" 0 3.75 14
"27" 0 4.25 20
"28" 0 4.75 28
"29" 0 5.25 26
"30" 0 5.75 26
"31" 0 6.5 27
"32" 0 7.25 24
"33" 0 7.75 22
"34" 0 8.25 26
"35" 1 9 28
"36" 1 10 22
"37" 1 10.75 20
"38" 1 11.25 20
"39" 1 11.75 26
"40" 1 12.25 22
"41" 1 12.75 22
"42" 1 13.5 21
"43" 1 15.75 14.5714285714286
"44" 1 18.5 15
"45" 1 21 13.6666666666667
"46" 1 22.75 14
"47" 1 0 13
"48" 1 2.25 12.8
"49" 1 4.5 13
"50" 1 6 14
"51" 1 7 13
"52" 1 7.75 16
"53" 1 8.25 14
"54" 2 10 15
"55" 2 11.75 12
"56" 2 12.5 12
"57" 2 13.75 12
"58" 2 15 11
"59" 2 15.75 12
"60" 2 16.25 14
"61" 2 17.25 11.3333333333333
"62" 2 19.25 11.2
"63" 2 21.25 13.3333333333333
"64" 2 23.5 15.6666666666667
"65" 2 1.25 16
"66" 2 2.00833333333333 15.7377049180327
"67" 2 3.50833333333333 16.6386554621849
"68" 2 4.75 16
"69" 2 5.25 14
"70" 2 6 17
"71" 2 7.25 16
"72" 2 8.25 16
"73" 2 8.75 16
"74" 3 9.25 18
"75" 3 11 14.3333333333333
"76" 3 12.75 14
"77" 3 13.25 12
"78" 3 13.75 14
"79" 3 14.25 12
"80" 3 15 13
"81" 3 16 12
"82" 3 16.75 14
"83" 3 17.25 16
"84" 3 17.75 16
"85" 3 18.25 14
"86" 3 18.75 16
"87" 3 19.25 20
"88" 3 19.75 18
"89" 3 20.5 15
"90" 3 21.25 12
"91" 3 21.75 14
"92" 3 22.25 18
"93" 3 23.5 15
"94" 3 0.75 16
"95" 3 1.25 18
"96" 3 1.75 20
"97" 3 3.25 15.2
"98" 3 4.75 16
"99" 3 5.5 17
"100" 3 6.5 14
"101" 3 7.25 16
"102" 3 7.75 14
"103" 3 8.25 16
"104" 3 8.75 18
"105" 4 9.75 16.6666666666667
"106" 4 11 18
"107" 4 12 16
"108" 4 13.75 15.6
"109" 4 15.2583333333333 15.4838709677419
"110" 4 16.2583333333333 14.8314606741573
"111" 4 18 14
"112" 4 19.25 14
"113" 4 20 16
"114" 4 21 16
"115" 4 22.25 15.3333333333333
"116" 4 23.5083333333333 15.7377049180327
"117" 4 0.258333333333333 16.551724137931
"118" 4 0.75 16
"119" 4 1.25 18
"120" 4 1.75 16
"121" 4 3 13.5
"122" 4 4.25 18
"123" 4 4.75 14
"124" 4 6 14.5
"125" 4 7.25 16
"126" 4 7.75 16
"127" 4 8.25 14
"128" 5 9 14
"129" 5 10.25 10.6666666666667
"130" 5 11.25 10
"131" 5 11.75 8
"132" 5 12.25 10
"133" 5 13 9
"134" 5 13.75 12
"135" 5 14.7583333333333 12.5274725274725
"136" 5 16.2583333333333 15.5056179775281
"137" 5 17.25 16
"138" 5 18 15
"139" 5 18.75 12
"140" 5 19.5 16
"141" 5 20.25 18
"142" 5 21.25 14.6666666666667
"143" 5 22.75 14
"144" 5 23.75 14
"145" 5 0.25 18
"146" 5 0.75 16
"147" 5 1.75 15.3333333333333
"148" 5 3.25 16
"149" 5 4.25 16
"150" 5 5.25 16.6666666666667
"151" 5 6.25 16
"152" 5 7.25 16.6666666666667
"153" 5 8.25 16
"154" 5 8.75 18
"155" 6 9.25 14
"156" 6 9.75 22
"157" 6 10.25 16
"158" 6 11.25 18.6666666666667
"159" 6 12.25 14
"160" 6 12.75 16
"161" 6 13.75 13.3333333333333
"162" 6 15.25 14
"163" 6 16.25 12
"164" 6 17 10
"165" 6 17.75 14
"166" 6 18.25 16
"167" 6 19.0083333333333 18.6885245901639
"168" 6 19.7583333333333 14.4827586206897
"169" 6 20.25 8
"170" 6 21 7
"171" 6 21.75 4
"172" 6 22.25 6
"173" 6 22.75 4
"174" 6 23.25 4
"175" 6 23.75 4
"176" 6 0.25 4
"177" 6 0.75 4
"178" 6 1.25 6
"179" 6 1.75 2
"180" 6 2.25 2
"181" 6 2.75 4
"182" 6 3.25 2
"183" 6 3.75 4
"184" 6 4.25 2
"185" 6 4.75 4
"186" 6 5.25 2
"187" 6 5.75 4
"188" 6 6.25 2
"189" 6 6.75 14
"190" 6 7.25 14
"192" 7 14.2666666666667 12.9807692307692
"193" 7 17.25 13.2
"194" 7 20 17
"195" 7 21.75 14
"196" 7 22.25 10
"197" 7 22.75 8
"198" 7 23.25 2
"199" 7 23.75 4
"200" 7 0.25 2
"201" 7 0.75 2
"202" 7 1.25 4
"203" 7 1.75 2
"204" 7 2.75 3.33333333333333
"205" 7 3.75 2
"206" 7 4.25 4
"207" 7 4.75 4
"208" 7 5.25 2
"209" 7 5.75 2
"210" 7 6.25 4
"211" 7 6.75 2
"212" 7 7.25 8
"213" 7 7.75 16
"214" 7 8.50833333333333 16.7213114754098
"215" 8 9.50833333333333 17.2881355932203
"216" 8 10.5 16
"217" 8 12 17
"218" 8 13.25 18
"219" 8 14 15
"220" 8 15.25 16.6666666666667
"221" 8 16.5 15
"222" 8 17.5 15
"223" 8 18.75 14
"224" 8 20.2583333333333 14.5054945054945
"225" 8 21.2583333333333 16.551724137931
"226" 8 21.75 10
