Date	Day_of_year	year	block	round	plot	treatment	soil_moisture_1	soil_moisture_2	soil_moisture_3	soil_moisture_4	soil_moisture_5	cov1
01/06/2018	152	2018	A1	1	1	W	39.1	43.2	48.8	39.2	28.4	3.073
01/06/2018	152	2018	A1	1	2	IW	36.7	40.1	48.8	50.3	44.9	2.44
01/06/2018	152	2018	A1	1	3	C	51.9	45	53.3	48.8	47.1	2.552
01/06/2018	152	2018	A1	1	4	I	46.1	39.4	42.1	26.6	33.8	2.609
01/06/2018	152	2018	A1	1	5	C	49.2	50.3	43.2	48.4	49.4	2.155
01/06/2018	152	2018	A1	1	6	IW	39.6	36.6	27.4	39	42.5	2.054
01/06/2018	152	2018	A1	1	7	C	45.7	46.1	42.2	41.3	44	2.713
01/06/2018	152	2018	A1	1	8	IW	45.8	47.2	49.6	42.3	47.4	2.421
01/06/2018	152	2018	A1	1	9	W	50.3	48.1	51.7	60	50	1.763
01/06/2018	152	2018	A1	1	10	I	43.8	51.6	49	47.2	34.3	2.277
01/06/2018	152	2018	A1	1	11	W	50.5	55.9	45.4	56.1	49.7	2.336
01/06/2018	152	2018	A1	1	12	I	49.2	45.8	44.3	47.5	40.6	2.517
01/06/2018	152	2018	A3	1	1	W	45	31.4	47.8	34.6	31.5	3.29
01/06/2018	152	2018	A3	1	2	W	28.3	29.9	33.3	39.6	39.8	3.115
01/06/2018	152	2018	A3	1	3	C	36.5	44.4	39	44.3	25.8	2.945
01/06/2018	152	2018	A3	1	4	I	37	30.4	29	40.4	27.3	3.004
01/06/2018	152	2018	A3	1	5	IW	40.9	36.4	39.2	35.1	39	2.988
01/06/2018	152	2018	A3	1	6	I	44.3	36.7	37.1	42.7	35.4	2.963
01/06/2018	152	2018	A3	1	7	C	37.2	38.3	37	47.4	33.8	3.065
01/06/2018	152	2018	A3	1	8	C	40.2	45.1	42.7	50	44.4	3.194
01/06/2018	152	2018	A3	1	9	I	39.9	34.1	43.3	46.6	37.5	3.49
01/06/2018	152	2018	A3	1	10	IW	30.8	33.2	37.4	38.6	37.4	2.763
01/06/2018	152	2018	A3	1	11	IW	41.6	22.2	36.7	38	22.3	3.228
01/06/2018	152	2018	A3	1	12	W	39.9	36.8	43.5	29.9	37.5	2.792
03/06/2018	154	2018	A4	1	1	C	23.6	31	29.4	22	35.2	2.893
03/06/2018	154	2018	A4	1	2	W	62.7	17.6	24.2	33	45	3.161
03/06/2018	154	2018	A4	1	3	W	43.1	25.9	31.2	60.4	50	2.825
03/06/2018	154	2018	A4	1	4	C	47.5	44.7	43	36	47.2	2.496
