"date"	"age"
"24.06.87"	8
"24.06.87"	12
"15.06.88"	13
"07.1988"	4
"13.07.88"	9
"1989"	12
"1989"	15
"16.09.89"	2
"3.10.89"	10
"5.10.89"	9
"6.10.89"	10
"10.10.89"	15
"19.10.89"	16
"22.10.89"	9
"31.10.89"	14
"28.11.89"	10
"11.2.90"	12
"06.1990"	12
"28.06.90"	10
"21.07.90"	5
"30.07.90"	10
"06.08.90"	5
"18.08.90"	15
"19.08.90"	6
"9.9.90"	11
"21.10.90"	13
"23.10.90"	5
"25.01.91"	4
"7.02.91"	6
"18.04.91"	8
"11.06.91"	7
"21.06.91"	11
"27.07.91"	6
"21.08.91"	16
"14.09.91"	10
"29.09.91"	15
"18.11.91"	6
"1992"	5
"1992"	1
"13.02.92"	7
"15.04.92"	1
"15.04.92"	5
"15.04.92"	7
">26.07.92"	17
"20.09.92"	3
"23.09.92"	11
"12.11.92"	9
"  30.03.93"	6
"28.06.93"	6
"30.06.93"	1
"11.07.93"	7
"03.08.93"	15
"1.09.93"	9
"4.09.93"	10
"18.11.93"	17
"18.11.93"	17
"18.11.93"	10
"18.11.93"	5
"18.11.93"	5
"18.11.93"	7
"18.11.93"	12
"18.11.93"	11
"18.11.93"	11
"18.11.93"	3
"18.11.93"	8
"18.11.93"	8
"18.11.93"	15
"18.11.93"	7
"26.05.1994"	7
"26.05.94"	6
"15.09.94"	11
"15.09.94"	18
"21.09.94"	2
"26.09.94"	9
"30.09.94"	3
"30.09.94"	4
"28.05.95"	3
"18.06.95"	14
"26.06.95"	17
"12.07.95"	5
"13.08.95"	8
"15.08.95"	12
"30.08.95"	10
"04.09.95"	15
"04.09.95"	2
"04.09.95"	8
"04.09.95"	9
"04.09.95"	10
"04.09.95"	9
"04.09.95"	6
"04.09.95"	2
"04.09.95"	11
"04.09.95"	17
"19.07.96"	2
"21.07.96"	12
"29.07.96"	2
"12.08.96"	0
"15.08.96"	14
"15.08.96"	1
"18.08.96"	6
"19.08.96"	3
"21.08.96"	6
"12.09.96"	1
"16.09.96"	5
"16.09.96"	7
"18.09.96"	6
"18.09.96"	4
"18.09.96"	12
"19.09.96"	12
"19.09.96"	17
"19.09.96"	16
"19.09.96"	5
"19.09.96"	6
"19.09.96"	5
"19.09.96"	4
"19.09.96"	5
"29.05.97"	2
"27.06.97"	2
"04.07.97"	17
"09.08.97"	3
"13.08.97"	6
"13.08.97"	11
"13.08.97"	12
"29.08.97"	3
"08.09.97"	4
"10.09.97"	8
"10.09.97"	1
"10.09.97"	7
"10.09.97"	8
"10.09.97"	6
"24.06.98"	8
"10.07.98"	16
"12.07.98"	5
"18.07.98"	13
"21.08.98"	0
"26.08.98"	15
"07.09.98"	10
"07.09.98"	11
"10.09.98"	11
"10.09.98"	11
"11.09.98"	6
"11.09.98"	13
"11.09.98"	15
"11.09.98"	6
"09.05.99"	9
"29.05.99"	11
"10.07.99"	13
"10.08.99"	14
"26.08.99"	5
"08.09.99"	10
"08.09.99"	8
"08.09.99"	11
"08.09.99"	4
"08.09.99"	8
"08.09.99"	5
"08.09.99"	9
"08.09.99"	9
"21.06.00"	13
"29.06.00"	6
"20.07.00"	9
"29.07.00"	13
"04.08.00"	16
"05.08.00"	10
"06.08.00"	9
"06.08.00"	8
"06.08.00"	10
"06.08.00"	3
"06.08.00"	15
"06.08.00"	5
"06.08.00"	12
"11.09.00"	11
"17.09.00"	13
"17.09.00"	11
"17.09.00"	10
"17.09.00"	3
"26.06.01"	2
"28.06.01"	5
"05.08.01"	2
"04.09.01"	7
"13.09.01"	13
"13.09.01"	6
"13.09.01"	11
"13.09.01"	8
"13.09.01"	6
"13.09.01"	8
"01.06.02"	16
"26.06.02"	7
"18.08.02"	16
"28.08.02"	8
"29.08.02"	4
"08.09.02"	10
"08.09.02"	16
"10.09.02"	5
"10.09.02"	6
"11.09.02"	5
"11.09.02"	11
"11.09.02"	11
"11.09.02"	4
"01.06.03"	9
"16.07.03"	4
"30.07.03"	13
"30.07.03"	5
"31.07.03"	10
"04.08.03"	8
"13.08.03"	9
"13.08.03"	9
"24.08.03"	6
"02.09.03"	12
"09.09.03"	11
"10.09.03"	8
"10.09.03"	6
"10.09.03"	11
"14.09.03"	0
"14.09.03"	8
"14.09.03"	9
"14.09.03"	7
"14.09.03"	8
"14.09.03"	2
"14.09.03"	6
"09.06.04"	3
"13.06.04"	1
"12.07.04"	13
"17.07.04"	6
"19.07.04"	9
"25.07.04"	4
"02.08.04"	13
"11.08.04"	13
"12.08.04"	8
"17.08.04"	5
"20.08.04"	12
"04.09.04"	6
"05.09.04"	2
"15.09.04"	6
"15.09.04"	8
"13.11.04"	0
"18.11.04"	5
"22.11.04"	9
"29.11.04"	12
"22.05.05"	13
"22.05.05"	9
"24.05.05"	6
"09.06.05"	11
"21.06.05"	11
"25.07.05"	10
"05.08.05"	16
"06.08.05"	4
"14.09.05"	13
"14.09.05"	6
"08.11.05"	4
"22.11.05"	4
"22.11.05"	9
"24.11.05"	2
"25.11.05"	13
"25.11.05"	7
"22.05.06"	13
"25.05.06"	3
"06.06.06"	8
"16.07.06"	10
"05.08.06"	15
"13.08.06"	14
"19.08.06"	16
"19.08.06"	14
"03.09.06"	14
"10.09.06"	1
"10.09.06"	4
"11.09.06"	7
"12.09.06"	4
"23.11.06"	8
"24.06.07"	13
"29.06.07"	9
"05.07.07"	1
"17.08.07"	7
"19.08.07"	13
"08.09.07"	7
"10.09.07"	10
"10.09.07"	9
"10.09.07"	8
"12.09.07"	5
"12.09.07"	5
"12.09.07"	9
"13.09.07"	8
"13.09.07"	12
"17.05.08"	8
"18.05.08"	16
"19.05.08"	10
"26.05.08"	3
"27.05.08"	1
"03.06.08"	9
"30.07.08"	5
"12.09.08"	2
"12.09.08"	6
"13.09.08"	6
"13.09.08"	9
"14.09.08"	15
"14.09.08"	12
"14.09.08"	8
"15.09.08"	12
"15.09.08"	14
"15.09.08"	1
"15.09.08"	6
"15.09.08"	7
"23.05.09"	2
"30.05.09"	13
"20.06.09"	8
"04.07.09"	8
"19.07.09"	11
"09.08.09"	5
"18.08.09"	8
"05.09.09"	6
"06.09.09"	3
"06.09.09"	4
"27.09.09"	5
"27.09.09"	5
"27.09.09"	7
"27.09.09"	3
"28.09.09"	7
"28.09.09"	3
"28.09.09"	0
"28.09.09"	0
"28.09.09"	2
"28.09.09"	8
"12.05.10"	9
"13.05.10"	5
"14.05.10"	4
"15.05.10"	3
"15.05.10"	7
"17.05.10"	8
"20.05.10"	0
"24.05.10"	7
"24.05.10"	7
"24.05.10"	2
"27.05.10"	3
"02.06.10"	7
"28.06.10"	2
"08.07.10"	17
"07.08.10"	2
"14.08.10"	4
"18.08.10"	4
"05.09.10"	5
"10.09.10"	13
"10.09.10"	5
"17.09.10"	4
"17.09.10"	3
"17.09.10"	8
"17.09.10"	6
"17.09.10"	1
"17.09.10"	16
"17.09.10"	4
"16.05.11"	6
"21.05.11"	7
"05.06.11"	3
"20.06.11"	7
"25.06.11"	8
"29.07.11"	1
"31.07.11"	3
"18.08.11"	9
"27.08.11"	0
"08.09.11"	1
"08.09.11"	3
"08.09.11"	0
"08.09.11"	10
"08.09.11"	6
"08.09.11"	2
"08.09.11"	14
"08.09.11"	7
"08.09.11"	2
"08.09.11"	0
"08.09.11"	0
"09.09.11"	2
"31.01.12"	1
"12.05.12"	3
"21.05.12"	10
"31.05.12"	4
"15.06.12"	4
"22.06.12"	6
"27.06.12"	5
"12.07.12"	12
"03.08.12"	4
"20.08.12"	3
"01.09.12"	6
"01.09.12"	3
"04.09.12"	1
"11.09.12"	2
"11.09.12"	3
"12.09.12"	8
"12.09.12"	8
"12.09.12"	5
"12.09.12"	2
"12.09.12"	2
"12.09.12"	8
"12.09.12"	3
"16.05.13"	2
"17.05.13"	9
"01.06.13"	5
"19.07.13"	7
"23.07.13"	5
"26.08.13"	13
"26.08.13"	5
"02.09.13"	5
"10.09.13"	4
"13.09.13"	6
"13.09.13"	5
"13.09.13"	6
"13.09.13"	13
"02.06.14"	3
"23.07.14"	5
"03.08.14"	1
"03.08.14"	1
"15.09.14"	4
"20.06.15"	1
"26.06.15"	14
"30.06.15"	0
"15.07.15"	11
"25.07.15"	7
"01.08.15"	10
"07.09.15"	6
"13.09.15"	2
"15.09.15"	7
"15.09.15"	3
"15.09.15"	5
"16.09.15"	2
"16.09.15"	6
"16.09.15"	6
"15.05.16"	5
"06.08.16"	13
"13.09.16"	5
"15.09.16"	3
"15.09.16"	8
"15.09.16"	9
"15.09.16"	2
"15.09.16"	6
"19.02.17"	5
"28.06.17"	3
"11.08.17"	0
